experiment,subtask,model,provider,api_model,length,position,density,interference_type,similarity,distance,hops,hop_distance,chain_type,implementation,n_samples,n_success,accuracy,f1,rouge_l,mean_latency,p50_latency,p95_latency,error_rate,effective_context_length,effective_context_length_abs80,middle_drop,relative_middle_drop,density_accuracy_slope,density_accuracy_pearson,critical_density_threshold,top_error_type
ruler,qa_hotpotqa,qwen35_122b_a10b,siliconflow,Qwen/Qwen3.5-122B-A10B,16384,,,,,,,,,ruler_fallback,57,3,0.05263157894736842,1.0,,0.1822806964955178,0.0,0.29418976004235864,0.9473684210526315,32768,,,,,,,request_error
ruler,qa_hotpotqa,qwen35_122b_a10b,siliconflow,Qwen/Qwen3.5-122B-A10B,32768,,,,,,,,,ruler_fallback,69,6,0.08695652173913043,1.0,,0.4616167521731847,0.0,2.8696095400489847,0.9130434782608695,32768,,,,,,,request_error
ruler,qa_hotpotqa,qwen35_122b_a10b,siliconflow,Qwen/Qwen3.5-122B-A10B,4096,,,,,,,,,ruler_fallback,62,1,0.016129032258064516,1.0,,0.01645734193434398,0.0,0.0,0.9838709677419355,32768,,,,,,,request_error
ruler,qa_hotpotqa,qwen35_27b,siliconflow,Qwen/Qwen3.5-27B,16384,,,,,,,,,ruler_fallback,63,10,0.1111111111111111,1.0,,1.1494070507866878,0.0,8.590427589975297,0.8412698412698413,32768,,,,,,,request_error
ruler,qa_hotpotqa,qwen35_27b,siliconflow,Qwen/Qwen3.5-27B,32768,,,,,,,,,ruler_fallback,60,8,0.13333333333333333,1.0,,26.42995606333716,0.0,158.70684657514792,0.8666666666666667,32768,,,,,,,request_error
ruler,qa_hotpotqa,qwen35_27b,siliconflow,Qwen/Qwen3.5-27B,4096,,,,,,,,,ruler_fallback,60,9,0.11666666666666667,1.0,,0.69894364666737,0.0,2.045769945171189,0.85,32768,,,,,,,request_error
ruler,qa_hotpotqa,qwen35_35b_a3b,siliconflow,Qwen/Qwen3.5-35B-A3B,16384,,,,,,,,,ruler_fallback,66,6,0.09090909090909091,1.0,,10.702282934851775,0.0,1.707066174945794,0.9090909090909091,32768,,,,,,,request_error
ruler,qa_hotpotqa,qwen35_35b_a3b,siliconflow,Qwen/Qwen3.5-35B-A3B,32768,,,,,,,,,ruler_fallback,58,4,0.06896551724137931,1.0,,0.2536007603469851,0.0,2.6146774099557657,0.9310344827586207,32768,,,,,,,request_error
ruler,qa_hotpotqa,qwen35_35b_a3b,siliconflow,Qwen/Qwen3.5-35B-A3B,4096,,,,,,,,,ruler_fallback,60,4,0.06666666666666667,1.0,,0.06863764500012622,0.0,0.7161689150030723,0.9333333333333333,32768,,,,,,,request_error
ruler,qa_hotpotqa,qwen35_9b,siliconflow,Qwen/Qwen3.5-9B,16384,,,,,,,,,ruler_fallback,100,50,0.5,1.0,,1.2237533470056952,0.7726154499687254,2.692555820092093,0.5,16384,,,,,,,
ruler,qa_hotpotqa,qwen35_9b,siliconflow,Qwen/Qwen3.5-9B,32768,,,,,,,,,ruler_fallback,104,40,0.38461538461538464,1.0,,19.11823882884122,0.0,6.333216075063682,0.6153846153846154,16384,,,,,,,
ruler,qa_hotpotqa,qwen35_9b,siliconflow,Qwen/Qwen3.5-9B,4096,,,,,,,,,ruler_fallback,100,50,0.5,1.0,,1.2466502329916693,0.2565914000151679,1.1345974050695078,0.5,16384,,,,,,,
ruler,qa_hotpotqa,qwen3_14b_no_thinking,siliconflow,Qwen/Qwen3-14B,16384,,,,,,,,,ruler_fallback,59,2,0.03389830508474576,1.0,,0.10271231694762611,0.0,0.0,0.9661016949152542,32768,,,,,,,request_error
ruler,qa_hotpotqa,qwen3_14b_no_thinking,siliconflow,Qwen/Qwen3-14B,32768,,,,,,,,,ruler_fallback,60,5,0.08333333333333333,1.0,,0.6952304633373084,0.0,4.6362282149610055,0.9166666666666666,32768,,,,,,,request_error
ruler,qa_hotpotqa,qwen3_14b_no_thinking,siliconflow,Qwen/Qwen3-14B,4096,,,,,,,,,ruler_fallback,62,1,0.016129032258064516,1.0,,0.040224729030723536,0.0,0.0,0.9838709677419355,32768,,,,,,,request_error
ruler,qa_hotpotqa,qwen3_14b_thinking,siliconflow,Qwen/Qwen3-14B,16384,,,,,,,,,ruler_fallback,58,4,0.06896551724137931,1.0,,0.857286463796707,0.0,5.164551860047498,0.9310344827586207,32768,,,,,,,request_error
ruler,qa_hotpotqa,qwen3_14b_thinking,siliconflow,Qwen/Qwen3-14B,32768,,,,,,,,,ruler_fallback,60,3,0.05,1.0,,0.22627397999943544,0.0,0.2184398100012789,0.95,32768,,,,,,,request_error
ruler,qa_hotpotqa,qwen3_14b_thinking,siliconflow,Qwen/Qwen3-14B,4096,,,,,,,,,ruler_fallback,56,1,0.017857142857142856,1.0,,0.12849692499730736,0.0,0.0,0.9821428571428571,32768,,,,,,,request_error
ruler,qa_hotpotqa,qwen3_8b,siliconflow,Qwen/Qwen3-8B,16384,,,,,,,,,ruler_fallback,104,28,0.2692307692307692,1.0,,0.871442104808431,0.0,4.338290015095844,0.7307692307692307,4096,,,,,,,request_error
ruler,qa_hotpotqa,qwen3_8b,siliconflow,Qwen/Qwen3-8B,32768,,,,,,,,,ruler_fallback,107,20,0.18691588785046728,1.0,,1.1610527065469423,0.0,5.854373860056515,0.8130841121495327,4096,,,,,,,
ruler,qa_hotpotqa,qwen3_8b,siliconflow,Qwen/Qwen3-8B,4096,,,,,,,,,ruler_fallback,100,50,0.5,1.0,,1.4772880850010552,0.2700779000297189,7.4222168450593005,0.5,4096,,,,,,,
ruler,qa_hotpotqa,seed_oss_36b,siliconflow,ByteDance-Seed/Seed-OSS-36B-Instruct,16384,,,,,,,,,ruler_fallback,63,1,0.015873015873015872,1.0,,0.07084038730208127,0.0,0.0,0.9841269841269841,32768,,,,,,,request_error
ruler,qa_hotpotqa,seed_oss_36b,siliconflow,ByteDance-Seed/Seed-OSS-36B-Instruct,32768,,,,,,,,,ruler_fallback,60,5,0.08333333333333333,1.0,,3.3293498083289403,0.0,12.285133314819534,0.9166666666666666,32768,,,,,,,request_error
ruler,qa_hotpotqa,seed_oss_36b,siliconflow,ByteDance-Seed/Seed-OSS-36B-Instruct,4096,,,,,,,,,ruler_fallback,59,3,0.05084745762711865,1.0,,0.33213917966300655,0.0,0.5398993100039737,0.9491525423728814,32768,,,,,,,request_error
ruler,qa_squad,hunyuan_a13b,siliconflow,tencent/Hunyuan-A13B-Instruct,16384,,,,,,,,,ruler_fallback,57,3,0.05263157894736842,1.0,,0.08747149297657113,0.0,0.30945461997762763,0.9473684210526315,4096,,,,,,,request_error
