subset,condition_name,condition_value,model,n_total,n_eval,n_api_error,coverage,api_error_rate,accuracy_success,accuracy_all_conservative,mean_field_accuracy,mean_field_accuracy_all,decoy_capture_rate,partial_rate,omission_rate,near_miss_rate,mean_latency_sec,prompt_tokens_mean,completion_tokens_mean
PAC-B_interference,decoy_count,192,qwen35_35b_a3b,12,12,0,1.0,0.0,0.166667,0.166667,0.8889,0.8889,0.166667,0.666667,0.0,0.0,15.088304,36463.416667,26.583333
PAC-B_interference,decoy_count,192,qwen35_122b_a10b,12,12,0,1.0,0.0,0.333333,0.333333,0.888892,0.888892,0.0,0.666667,0.0,0.0,3.343819,36463.416667,27.0
PAC-B_interference,decoy_count,192,qwen3_14b_no_thinking,12,10,2,0.833333,0.166667,0.1,0.083333,0.76667,0.638892,0.3,0.6,0.0,0.0,7.193409,35391.083333,26.1
PAC-B_interference,decoy_count,192,qwen3_14b_thinking,12,0,12,0.0,1.0,,0.0,,0.0,,,,,0.0,31984.333333,
PAC-B_interference,decoy_count,192,hunyuan_a13b,12,12,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.916667,0.0,10.40572,36073.333333,192.0
PAC-B_interference,decoy_count,192,seed_oss_36b,12,10,2,0.833333,0.166667,0.4,0.333333,0.4,0.333333,0.0,0.0,0.0,0.0,20.102394,36670.0,132.8
PAC-C_binding_capacity,binding_k/query_count,16/3,qwen35_9b,8,8,0,1.0,0.0,0.125,0.125,0.666688,0.666688,0.0,0.875,0.0,0.0,11.431642,36767.625,28.125
PAC-C_binding_capacity,binding_k/query_count,16/3,qwen35_35b_a3b,8,8,0,1.0,0.0,0.5,0.5,0.83335,0.83335,0.0,0.5,0.0,0.0,7.945011,36767.625,27.375
PAC-C_binding_capacity,binding_k/query_count,16/3,qwen35_122b_a10b,8,8,0,1.0,0.0,0.625,0.625,0.875012,0.875012,0.125,0.25,0.0,0.0,3.912867,36767.625,27.25
PAC-C_binding_capacity,binding_k/query_count,16/3,qwen3_14b_no_thinking,8,8,0,1.0,0.0,0.25,0.25,0.458325,0.458325,0.625,0.125,0.0,0.0,11.486303,35586.625,26.0
PAC-C_binding_capacity,binding_k/query_count,16/3,qwen3_14b_thinking,8,8,0,1.0,0.0,0.75,0.75,0.916675,0.916675,0.25,0.0,0.0,0.0,51.469125,35582.625,1788.375
PAC-C_binding_capacity,binding_k/query_count,16/3,seed_oss_36b,8,0,8,0.0,1.0,,0.0,,0.0,,,,,0.0,31986.25,
PAC-C_binding_capacity,binding_k/query_count,16/5,qwen35_9b,8,8,0,1.0,0.0,0.375,0.375,0.8,0.8,0.25,0.375,0.0,0.0,8.897407,36777.5,45.875
PAC-C_binding_capacity,binding_k/query_count,16/5,qwen35_35b_a3b,8,8,0,1.0,0.0,0.5,0.5,0.9,0.9,0.25,0.25,0.0,0.0,7.416627,36777.5,45.625
PAC-C_binding_capacity,binding_k/query_count,16/5,qwen35_122b_a10b,8,8,0,1.0,0.0,0.875,0.875,0.975,0.975,0.0,0.125,0.0,0.0,4.77426,36777.5,46.0
PAC-C_binding_capacity,binding_k/query_count,16/5,qwen3_14b_no_thinking,8,7,1,0.875,0.125,0.142857,0.125,0.628571,0.55,0.714286,0.142857,0.0,0.0,7.62124,35146.5,44.857143
PAC-C_binding_capacity,binding_k/query_count,16/5,qwen3_14b_thinking,8,5,3,0.625,0.375,1.0,0.625,1.0,0.625,0.0,0.0,0.0,0.0,65.230057,34236.375,1817.0
PAC-C_binding_capacity,binding_k/query_count,16/5,seed_oss_36b,8,0,8,0.0,1.0,,0.0,,0.0,,,,,0.0,31985.25,
PAC-C_binding_capacity,binding_k/query_count,16/8,qwen35_9b,8,8,0,1.0,0.0,0.0,0.0,0.671875,0.671875,0.625,0.25,0.0,0.0,9.374486,36787.5,77.625
PAC-C_binding_capacity,binding_k/query_count,16/8,qwen35_35b_a3b,8,8,0,1.0,0.0,0.5,0.5,0.9375,0.9375,0.125,0.375,0.0,0.0,6.738164,36787.5,69.125
PAC-C_binding_capacity,binding_k/query_count,16/8,qwen35_122b_a10b,8,8,0,1.0,0.0,0.5,0.5,0.875,0.875,0.125,0.375,0.0,0.0,5.601118,36787.5,68.375
PAC-C_binding_capacity,binding_k/query_count,16/8,qwen3_14b_no_thinking,8,8,0,1.0,0.0,0.125,0.125,0.609375,0.609375,0.625,0.25,0.0,0.0,18.473417,35608.625,67.125
PAC-C_binding_capacity,binding_k/query_count,16/8,qwen3_14b_thinking,8,5,3,0.625,0.375,0.6,0.375,0.95,0.59375,0.0,0.4,0.0,0.0,47.555462,34249.25,2414.8
PAC-C_binding_capacity,binding_k/query_count,16/8,seed_oss_36b,8,0,8,0.0,1.0,,0.0,,0.0,,,,,0.0,31987.25,
PAC-C_binding_capacity,binding_k/query_count,32/3,qwen35_9b,8,8,0,1.0,0.0,0.5,0.5,0.83335,0.83335,0.25,0.25,0.0,0.0,7.587425,36755.5,27.625
PAC-C_binding_capacity,binding_k/query_count,32/3,qwen35_35b_a3b,8,8,0,1.0,0.0,0.75,0.75,0.916675,0.916675,0.125,0.125,0.0,0.0,6.351658,36755.5,27.5
PAC-C_binding_capacity,binding_k/query_count,32/3,qwen35_122b_a10b,8,8,0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.069345,36755.5,27.75
PAC-C_binding_capacity,binding_k/query_count,32/3,qwen3_14b_no_thinking,8,8,0,1.0,0.0,0.25,0.25,0.541662,0.541662,0.375,0.375,0.0,0.0,9.391555,35714.375,26.375
PAC-C_binding_capacity,binding_k/query_count,32/3,qwen3_14b_thinking,8,5,3,0.625,0.375,1.0,0.625,1.0,0.625,0.0,0.0,0.0,0.0,47.742183,34314.0,1613.2
PAC-C_binding_capacity,binding_k/query_count,32/3,seed_oss_36b,8,5,3,0.625,0.375,0.8,0.5,0.93334,0.583338,0.2,0.0,0.0,0.0,41.445582,35570.75,718.4
PAC-C_binding_capacity,binding_k/query_count,32/5,qwen35_9b,8,8,0,1.0,0.0,0.625,0.625,0.925,0.925,0.25,0.125,0.0,0.0,11.107703,36771.125,44.875
PAC-C_binding_capacity,binding_k/query_count,32/5,qwen35_35b_a3b,8,8,0,1.0,0.0,0.75,0.75,0.95,0.95,0.25,0.0,0.0,0.0,14.914333,36771.125,44.375
PAC-C_binding_capacity,binding_k/query_count,32/5,qwen35_122b_a10b,8,8,0,1.0,0.0,0.875,0.875,0.975,0.975,0.125,0.0,0.0,0.0,7.102613,36771.125,44.625
PAC-C_binding_capacity,binding_k/query_count,32/5,qwen3_14b_no_thinking,8,8,0,1.0,0.0,0.0,0.0,0.4,0.4,0.625,0.375,0.0,0.0,16.074974,35732.875,44.625
PAC-C_binding_capacity,binding_k/query_count,32/5,qwen3_14b_thinking,8,3,5,0.375,0.625,0.666667,0.25,0.933333,0.35,0.0,0.333333,0.0,0.0,32.200836,33389.0,1804.666667
PAC-C_binding_capacity,binding_k/query_count,32/5,seed_oss_36b,8,4,4,0.5,0.5,0.25,0.125,0.65,0.325,0.5,0.0,0.0,0.0,13.612286,34855.0,91.75
PAC-C_binding_capacity,binding_k/query_count,32/8,qwen35_9b,8,8,0,1.0,0.0,0.375,0.375,0.875,0.875,0.25,0.375,0.0,0.0,16.718182,36770.125,73.5
PAC-C_binding_capacity,binding_k/query_count,32/8,qwen35_35b_a3b,8,8,0,1.0,0.0,0.375,0.375,0.890625,0.890625,0.25,0.375,0.0,0.0,6.821093,36770.125,73.125
PAC-C_binding_capacity,binding_k/query_count,32/8,qwen35_122b_a10b,8,8,0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,7.395452,36770.125,73.0
PAC-C_binding_capacity,binding_k/query_count,32/8,qwen3_14b_no_thinking,8,8,0,1.0,0.0,0.0,0.0,0.4375,0.4375,0.75,0.25,0.0,0.0,8.569953,35734.0,69.875
PAC-C_binding_capacity,binding_k/query_count,32/8,qwen3_14b_thinking,8,4,4,0.5,0.5,0.75,0.375,0.96875,0.484375,0.25,0.0,0.0,0.0,19.811486,33856.5,2044.0
PAC-C_binding_capacity,binding_k/query_count,32/8,seed_oss_36b,8,3,5,0.375,0.625,0.666667,0.25,0.916667,0.34375,0.333333,0.0,0.0,0.0,5.25757,34138.25,77.0
PAC-C_binding_capacity,binding_k/query_count,64/3,qwen35_9b,8,8,0,1.0,0.0,0.75,0.75,0.916675,0.916675,0.0,0.25,0.0,0.0,10.989209,36745.875,26.625
PAC-C_binding_capacity,binding_k/query_count,64/3,qwen35_35b_a3b,8,8,0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5.475514,36745.875,26.625
PAC-C_binding_capacity,binding_k/query_count,64/3,qwen35_122b_a10b,8,8,0,1.0,0.0,0.875,0.875,0.916662,0.916662,0.125,0.0,0.0,0.0,4.735307,36745.875,26.75
PAC-C_binding_capacity,binding_k/query_count,64/3,qwen3_14b_no_thinking,8,8,0,1.0,0.0,0.375,0.375,0.666662,0.666662,0.0,0.625,0.0,0.0,11.235583,35984.0,26.0
PAC-C_binding_capacity,binding_k/query_count,64/3,qwen3_14b_thinking,8,7,1,0.875,0.125,0.857143,0.75,0.952386,0.833338,0.142857,0.0,0.0,0.0,35.324742,35481.375,1443.0
PAC-C_binding_capacity,binding_k/query_count,64/3,seed_oss_36b,8,8,0,1.0,0.0,0.625,0.625,0.791675,0.791675,0.125,0.125,0.0,0.0,43.756261,37677.375,267.5
PAC-C_binding_capacity,binding_k/query_count,64/5,qwen35_9b,8,8,0,1.0,0.0,0.625,0.625,0.9,0.9,0.375,0.0,0.0,0.0,14.360289,36752.625,45.25
PAC-C_binding_capacity,binding_k/query_count,64/5,qwen35_35b_a3b,8,8,0,1.0,0.0,0.625,0.625,0.925,0.925,0.125,0.25,0.0,0.0,12.371001,36752.625,44.875
PAC-C_binding_capacity,binding_k/query_count,64/5,qwen35_122b_a10b,8,8,0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5.967447,36752.625,45.0
PAC-C_binding_capacity,binding_k/query_count,64/5,qwen3_14b_no_thinking,8,8,0,1.0,0.0,0.125,0.125,0.625,0.625,0.25,0.625,0.0,0.0,10.788909,35993.125,44.375
